;text;Hate.speech;Sexism;Body;Racism;Ideology;Homophobia;Origin;Religion;Health;OtherLifestyle;Migrants;Ageing
4;o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.;1;1;0;0;0;0;0;0;0;0;0;0
6;"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada";1;1;0;0;0;0;0;0;0;0;0;0
7;água ser essencial é coisa de maricas. Cerveja é essencial !;1;0;0;0;0;1;0;0;0;0;0;0
11;@homemdeverdade não tem namorada, tem fêmea temporária.;1;1;0;0;0;0;0;0;0;0;0;0
14;FATO: Tem muita mulher que é muito mais @homemdeverdade do que muito mariquinha fresco por ai !;1;1;0;0;0;1;0;0;0;0;0;0
15;@Homemdeverdade não usa capa de chuva,  @Homemdeverdade nada em tsunami !;1;1;0;0;0;0;0;0;0;0;0;0
16;quem não gosta de AC/DC @fodemal e não é @homemdeverdade !;1;1;0;0;0;0;0;0;0;0;0;0
18;@homemdeverdade usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !;1;1;0;0;0;0;0;0;0;0;0;0
19;@luizsergiovo : ser pós moderno não é coisa de @homemdeverdade, portanto @fodemal !;1;1;0;0;0;0;0;0;0;0;0;0
20;@homemdeverdade pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!;1;1;0;0;0;0;0;0;0;0;0;0
21;@homemdeverdade não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !;1;0;0;0;0;0;0;0;0;1;0;0
22;FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!;1;0;0;0;0;1;0;0;0;0;0;0
24;Confissões de um @homemdeverdade : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !;1;1;0;0;0;0;0;0;0;0;0;0
25;"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!";1;1;0;0;0;0;0;0;0;0;0;0
26;RT @heto: cientificamente comprovado. se não curte um pornozinho, não é @homemdeverdade;1;1;0;0;0;0;0;0;0;0;0;0
29;Enciclopédia @homemdeverdade : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !;1;1;0;0;0;0;0;0;0;0;0;0
32;@dadoqueiroz @homemdeverdade não acompanha time de meninas!;1;1;0;0;0;0;0;0;0;0;0;0
