text;Hate.speech;Sexism;Body;Racism;Ideology;Homophobia;Origin;Religion;Health;OtherLifestyle;Migrants;Ageing
RT @radbrancaemagra: EU NÃO SOU RACISTA EU JÁ DEI UNS BJ NUM NEGUINHO;0;0;0;0;0;0;0;0;0;0;0;0
descobri q sou sapatao mesmo;1;0;0;0;0;1;0;0;0;0;0;0
RT @VazaTemer:  #VazaTemer Em painel da ONU, Temer infla dados sobre refugiados recebidos pelo Brasil https://t.co/x98TAY6ar0;0;0;0;0;0;0;0;0;0;0;0;0
Eu sei que para ser bonita não precisa ser magra, mas eu coloquei na minha fucking cabeça de que estou muito gorda e feia;1;1;1;0;0;0;0;0;0;0;0;0
racismo inverso existe sim veja a sintaxe da palavra.........;1;0;0;1;0;0;0;0;0;0;0;0
Porra!!! Que programa racista esse #Esquenta !!! Só tem negros! Não tem um dedicado a loiras!!!!! Sou discriminada!!!!!;1;0;0;1;0;0;0;0;0;0;0;0
"@MagnoMaltaOfc  Por favor senador, recorra ao projeto que aprovou o ""casamento gay""O senhor é o único que pode recorrer, tem coragem.";1;0;0;0;0;1;0;0;0;0;0;0
@angelinhaB2000 sai sapatão incubada;1;0;0;0;0;1;0;0;0;0;0;0
@filhadolula eu lutei mas ai ela raspou a cabeça e ta mto sapatão isso ta acabando cmg...........;1;1;0;0;0;1;0;0;0;0;0;0
vo chega no garra daqui 7h toda perdida sem saber nd 3 mil conteúdo atrasado triste feia gorda e burra;1;1;1;0;0;0;0;0;0;0;0;0
RT @JesinaAndreia: Muito normal. Melhor mostrar a plena realidade a criança. Porque ninguém escolhe ser homossexual. Não acontece a todos , _;0;0;0;0;0;0;0;0;0;0;0;0
Ser amante de homi fodido é ser burra duas vezes! - Pepita, Mulher;1;1;0;0;0;0;0;0;0;0;0;0
Que barbaridade! Aceitar os refugiados não, né? https://t.co/e8NgGcEdBv;1;0;0;0;0;0;0;0;0;0;1;0
@XXXTRABOLD claro! @homemdeverdade não comentou nada porque esteve em algumas horas de luto e reflexão sobre sua obra. Brinde ao Mestre...;0;0;0;0;0;0;0;0;0;0;0;0
Mulher esperta sabe ter um homem na palma da mão , mulher burra apenas acha que tem mais na vdd não tem nada;1;1;0;0;0;0;0;0;0;0;0;0
"""Vc é burra hein mulher"" https://t.co/2SZKWUg74w";1;1;0;0;0;0;0;0;0;0;0;0
@Estadao certíssimo! ninguém quer pseudoterrorista no seu país, inclusive sou contra esses refugiados. Não sei quem são! pode ter terrorista;1;0;0;0;0;0;0;0;0;0;1;0
"Porque só o @editorahumanas pode ser censurado e eu não?Eu odeio as feministas tanto qnt ele.. Elas só sabem dar e abortar!
#DireitosIguais";1;1;0;0;1;0;0;0;0;0;0;0
Yuri k como sempre um grande homem. Burra é a mulher que-o perde. Dependente de tudo que fiz com ele sempre vou achar ele o melhor de todos.;0;0;0;0;0;0;0;0;0;0;0;0
RT @profsandrag1: STF DESMORALIZADO Não percebe que queremos mudanças e não queremos candidatos de esquerda e fabianos em 2018  #SOSFAA @Er _;0;0;0;0;0;0;0;0;0;0;0;0
@CapitalismoOP saudades de quando homem era homem e mulher era mulher;1;1;0;0;0;0;0;0;0;0;0;0
"Chega pra mina e fala:
-Por caso seu pai é dono de bordel??
-Não.pq???
-pq vc parece uma puta";1;1;0;0;0;0;0;0;0;0;0;0
"Não adianta nada fazer textão de dia das mulheres e quando liga no callcenter chamar a atendente de burra  e dizer ""tinha que ser mulher"" :)";1;1;0;0;0;0;0;0;0;0;0;0
RT @zfbla: o dia da mulher foi top pois passei c as sapatao mais top do planeta;1;0;0;0;0;1;0;0;0;0;0;0
abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela;1;1;1;0;0;0;0;0;0;0;0;0
@JoyceC_leal dia da mulher burra;1;1;0;0;0;0;0;0;0;0;0;0
EH DIA DA MULHER Q BURRA NEM LEMBREI;1;1;0;0;0;0;0;0;0;0;0;0
Comentei num perfil irônico. Como resposta, fui chamada de: feia, gorda, mal amada, feminazi, fascita, golpista, bu _ https://t.co/mw8FS5dOP6;1;1;1;0;1;0;0;0;0;0;0;0
"lembrei d quando meu pai chamou uma mulher d burra e ele foi parar na delegacia
""ele falou que sou burra""
""eu falei q ela é burra mesmo""";1;1;0;0;0;0;0;0;0;0;0;0
@luana_filipaa acho  melhor q ele use so  mao pq realmente este mundo anda todo assim só fufas para um lado gays para otr ih nada contra ahn;1;0;0;0;0;1;0;0;0;0;0;0
"@dntwit 
Saloios = tacanhos, ignaros, parolos
Que ofensa racista contra o povo a norte de Lisboa! Mas quem pode, pode... faltar ao respeito.";1;0;0;0;0;0;1;0;0;0;0;0
"jener e gabriela surpresos quando disse que era sapatao
ata more";1;0;0;0;0;1;0;0;0;0;0;0
