id,fold,true_y,predicted_y
56,0,1,0
1777,0,0,0
1178,0,0,0
1907,0,0,0
887,0,1,1
47,0,0,1
169,0,0,0
400,0,0,0
181,0,0,0
396,0,1,0
1872,0,0,0
902,0,0,0
512,0,0,0
1124,0,0,0
1145,0,1,0
703,0,1,1
1487,0,0,0
816,0,1,1
447,0,0,0
1812,0,0,0
1629,0,0,1
309,0,0,0
995,0,1,1
1363,0,0,0
258,0,1,1
478,0,0,0
1353,0,0,0
1364,0,0,0
415,0,1,1
1803,0,0,1
1439,0,0,1
1287,0,0,0
1810,0,0,0
370,0,1,1
1432,0,0,0
285,0,1,1
804,0,1,1
1047,0,0,1
1935,0,0,1
108,0,1,1
1763,0,0,0
970,0,1,1
1796,0,0,0
111,0,0,0
680,0,1,1
799,0,1,1
1700,0,0,0
560,0,0,0
1507,0,0,0
1012,0,1,1
553,0,0,0
351,0,0,0
1209,0,0,0
1334,0,0,0
275,0,0,0
292,0,0,0
1989,0,0,0
1210,0,0,0
674,0,1,1
1004,0,1,1
1726,0,0,0
386,0,1,1
1737,0,0,0
1323,0,0,0
660,0,1,0
1785,0,0,0
177,0,1,1
304,0,0,0
948,0,1,1
1089,0,0,0
1667,0,0,0
1204,0,0,0
435,0,0,0
1452,0,0,0
231,0,1,1
1461,0,0,0
87,0,1,1
736,0,1,1
1413,0,0,0
769,0,0,0
1194,0,0,0
432,0,0,0
1132,0,0,0
634,0,0,0
1359,0,0,0
223,0,1,1
631,0,0,0
414,0,1,0
1809,0,0,0
598,0,1,0
1073,0,0,0
1028,0,1,0
2012,0,0,0
1458,0,0,0
1754,0,0,0
1720,0,0,0
1494,0,0,0
366,0,1,1
1758,0,0,0
1109,0,0,0
120,0,0,0
904,0,1,1
1660,0,0,0
1233,0,0,0
1131,0,0,0
968,0,1,1
1868,0,0,0
851,0,1,1
2013,0,0,0
102,0,1,1
972,0,1,1
1548,0,0,0
1693,0,0,0
1102,0,0,0
898,0,1,1
1615,0,0,0
1806,0,0,0
1688,0,0,0
40,0,1,1
1929,0,0,0
1543,0,0,0
1567,0,0,0
1811,0,0,0
585,0,1,0
1732,0,0,0
1665,0,0,0
331,0,1,0
1827,0,0,0
1838,0,0,0
1037,0,0,0
8,0,1,1
1438,0,0,0
48,0,1,1
1706,0,0,0
1656,0,0,0
1515,0,0,0
718,0,1,1
1044,0,0,0
134,0,0,0
596,0,1,1
126,0,0,0
1499,0,0,1
428,0,0,0
119,0,0,0
1976,0,0,0
270,0,0,0
1577,0,0,0
1009,0,1,1
996,0,1,1
