id,fold,true_y,predicted_y
56,0,0,0
1777,0,0,0
1178,0,0,0
1907,0,0,0
887,0,1,0
47,0,0,0
169,0,0,0
400,0,0,0
181,0,0,0
396,0,0,0
1872,0,0,0
902,0,0,0
512,0,0,0
1124,0,0,0
1145,0,0,0
703,0,1,1
1487,0,0,0
816,0,0,0
447,0,0,0
1812,0,0,0
1629,0,0,0
309,0,0,0
995,0,0,0
1363,0,0,0
258,0,0,0
478,0,0,0
1353,0,0,0
1364,0,0,0
415,0,0,0
1803,0,0,0
1439,0,0,0
1287,0,0,0
1810,0,0,0
370,0,0,0
1432,0,0,0
285,0,0,0
804,0,0,0
1047,0,0,0
1935,0,0,0
108,0,1,1
1763,0,0,0
970,0,0,0
1796,0,0,0
111,0,0,0
680,0,0,0
799,0,1,1
1700,0,0,0
560,0,0,0
1507,0,0,0
1012,0,0,0
553,0,0,0
351,0,0,0
1209,0,0,0
1334,0,0,0
275,0,0,0
292,0,0,0
1989,0,0,0
1210,0,0,0
674,0,0,0
1004,0,1,1
1726,0,0,0
386,0,0,0
1737,0,0,0
1323,0,0,0
660,0,0,0
1785,0,0,0
177,0,0,0
304,0,0,0
948,0,0,0
1089,0,0,0
1667,0,0,0
1204,0,0,0
435,0,0,0
1452,0,0,0
231,0,0,0
1461,0,0,0
87,0,0,0
736,0,0,0
1413,0,0,0
769,0,0,0
1194,0,0,0
432,0,0,0
1132,0,0,0
634,0,0,0
1359,0,0,0
223,0,0,0
631,0,0,0
414,0,0,0
1809,0,0,0
598,0,0,0
1073,0,0,0
1028,0,0,0
2012,0,0,0
1458,0,0,0
1754,0,0,0
1720,0,0,0
1494,0,0,0
366,0,0,0
1758,0,0,0
1109,0,0,0
120,0,0,0
904,0,1,1
1660,0,0,0
1233,0,0,0
1131,0,0,0
968,0,0,0
1868,0,0,0
851,0,0,0
2013,0,0,0
102,0,0,0
972,0,0,1
1548,0,0,0
1693,0,0,0
1102,0,0,0
898,0,0,0
1615,0,0,0
1806,0,0,0
1688,0,0,0
40,0,0,0
1929,0,0,0
1543,0,0,0
1567,0,0,0
1811,0,0,0
585,0,0,0
1732,0,0,0
1665,0,0,0
331,0,0,0
1827,0,0,0
1838,0,0,0
1037,0,0,0
8,0,0,0
1438,0,0,0
48,0,0,0
1706,0,0,0
1656,0,0,0
1515,0,0,0
718,0,1,1
1044,0,0,0
134,0,0,0
596,0,0,0
126,0,0,0
1499,0,0,0
428,0,0,0
119,0,0,0
1976,0,0,0
270,0,0,0
1577,0,0,0
1009,0,1,1
996,0,1,1
701,0,0,0
833,0,1,1
535,0,0,0
1505,0,0,0
525,0,0,0
951,0,0,0
669,0,1,1
375,0,0,0
654,0,1,1
1059,0,0,0
1782,0,0,0
1938,0,0,0
1297,0,0,0
1614,0,0,0
1730,0,0,0
612,0,0,0
1822,0,0,0
186,0,0,0
1707,0,0,0
1446,0,0,0
441,0,0,0
1435,0,0,0
1547,0,0,0
1602,0,0,0
779,0,1,1
486,0,0,0
1645,0,0,0
236,0,0,0
1183,0,0,0
1263,0,0,0
303,0,0,0
194,0,0,0
772,0,0,0
1211,0,0,0
866,0,0,0
1678,0,0,0
1724,0,0,0
628,0,0,0
774,0,0,0
241,0,0,0
671,0,0,0
953,0,0,0
1228,0,0,0
1632,0,0,0
608,0,0,0
1789,0,0,0
1285,0,0,0
137,0,0,0
1587,0,0,0
161,0,0,0
527,0,0,0
1595,0,0,0
778,0,0,0
891,0,0,0
1804,0,0,0
614,0,0,0
880,0,0,0
406,0,0,0
854,0,0,0
192,0,0,0
2007,0,0,0
1331,0,0,0
1891,0,0,0
589,0,0,0
1952,0,0,0
1734,0,0,0
700,0,0,0
1083,0,0,0
675,0,0,0
301,0,0,0
993,0,0,0
2024,0,0,0
403,0,0,0
1038,0,0,0
1082,0,0,0
852,0,1,1
1262,0,0,0
768,0,1,1
653,0,1,1
1539,0,0,0
587,0,0,0
1094,0,0,0
1394,0,0,0
1653,0,0,0
1701,0,0,0
75,0,0,0
190,0,0,0
348,0,0,0
1006,0,0,0
957,0,1,1
1668,0,0,0
1205,0,0,0
920,0,1,1
1897,0,0,0
813,0,0,0
1573,0,0,0
389,0,0,0
1340,0,0,0
125,0,0,0
1283,0,0,0
1564,0,0,0
1115,0,0,0
1114,0,0,0
1010,0,0,0
1176,0,0,0
1476,0,0,0
763,0,0,0
1128,0,0,0
1991,0,0,0
790,0,0,0
976,0,0,0
537,0,0,0
1859,0,0,0
37,0,0,0
1955,0,0,0
894,0,0,0
1779,0,0,0
329,0,0,0
1650,0,0,0
1775,0,0,0
729,0,1,1
1830,0,0,0
368,0,0,1
282,0,0,0
1624,0,0,0
730,0,1,1
1241,0,0,0
1471,0,0,0
1058,0,0,0
1534,0,0,0
767,0,0,0
202,0,0,0
1926,0,0,0
705,0,1,1
60,0,0,0
724,0,0,0
987,0,0,0
1460,0,0,0
592,0,0,0
1378,0,0,0
1546,0,0,0
1533,0,0,0
918,0,1,1
546,0,0,0
840,0,0,0
1220,0,0,0
1030,0,0,0
1748,0,0,0
297,0,0,0
98,0,0,0
1696,0,0,0
260,0,0,0
1026,0,0,0
158,0,0,0
558,0,0,0
572,0,0,0
1702,0,0,0
1846,0,0,0
1218,0,0,0
372,0,0,0
821,0,0,0
1973,0,0,0
1081,0,1,1
1045,0,0,0
510,0,0,0
82,0,0,0
1336,0,0,0
1622,0,0,0
321,0,0,0
104,0,0,0
1666,0,0,0
1638,0,0,0
1355,0,0,0
1167,0,0,0
1017,0,0,0
325,0,1,1
1968,0,0,0
534,0,0,0
573,0,0,0
992,0,0,0
536,0,0,0
480,0,0,0
1849,0,0,0
1887,0,0,0
1314,0,0,0
1227,0,0,0
726,0,0,0
133,0,0,0
227,0,0,0
1367,0,0,0
683,0,0,0
91,0,0,0
655,0,1,1
931,0,0,0
1147,0,0,0
1247,0,0,0
11,0,0,0
421,0,0,0
1880,0,0,0
53,0,0,0
267,0,0,0
1705,0,0,0
1613,0,0,0
2016,0,0,0
1371,0,0,0
2004,0,0,0
367,0,0,0
107,0,0,0
1909,0,0,1
65,0,0,0
1246,0,0,0
1317,0,0,0
577,0,0,0
1489,0,0,0
167,0,0,0
1166,0,0,0
1998,0,0,0
1020,0,0,0
1657,0,0,0
264,0,0,0
382,0,0,0
1915,0,0,0
1281,0,0,0
1322,0,0,0
1750,0,0,0
1610,0,0,0
268,0,0,0
823,0,1,1
3,0,0,0
1399,0,0,0
868,0,0,0
1512,0,0,0
306,0,0,0
453,0,0,0
1304,0,0,0
1661,0,0,0
1238,0,0,0
17,0,0,0
248,0,0,0
664,0,1,1
1556,0,0,0
1436,0,0,0
1981,0,0,0
281,0,0,0
547,0,0,0
442,0,0,0
1575,0,0,1
1764,0,0,0
299,0,0,0
1130,0,0,0
1899,0,0,0
1293,0,0,0
1381,0,0,0
302,0,0,0
1005,0,0,0
622,0,0,0
341,0,0,0
1554,0,0,0
2002,0,0,0
259,0,0,0
1427,0,0,0
1520,0,0,0
1243,0,0,0
1713,0,0,0
140,0,1,0
165,0,0,0
1325,0,0,0
